sample,video_id,clip_id,source_words,alignable_words,aligned_words,untimed_words,mean_ctc_probability,asr_wer,first_start_s,last_end_s,review_flags,status,words_relpath,details_relpath,error
sample_0056,-vxjVxOeScU,4,21,21,21,0,0.842925,0.285714,0.0,8.48,low_ctc_probability,needs_review,mosei-word-times-v1.0/sample_0056.csv,mosei-word-times-v1.0/sample_0056.json,
sample_0057,-wMB_hJL-3o,7,22,22,22,0,0.967781,0.0,0.6,5.5,,auto_checked,mosei-word-times-v1.0/sample_0057.csv,mosei-word-times-v1.0/sample_0057.json,
sample_0058,-wny0OAz3g8,1,23,22,22,1,0.971515,0.227273,0.56,6.22,,auto_checked,mosei-word-times-v1.0/sample_0058.csv,mosei-word-times-v1.0/sample_0058.json,
sample_0059,-wny0OAz3g8,0,9,9,9,0,0.961541,0.222222,0.32,2.7,,auto_checked,mosei-word-times-v1.0/sample_0059.csv,mosei-word-times-v1.0/sample_0059.json,
sample_0060,-wny0OAz3g8,3,20,20,20,0,0.964728,0.2,0.54,5.54,,auto_checked,mosei-word-times-v1.0/sample_0060.csv,mosei-word-times-v1.0/sample_0060.json,
sample_0061,-wny0OAz3g8,2,23,23,23,0,0.962803,0.304348,0.54,6.0,,auto_checked,mosei-word-times-v1.0/sample_0061.csv,mosei-word-times-v1.0/sample_0061.json,
sample_0062,-wny0OAz3g8,5,20,20,20,0,0.958494,0.25,0.58,6.38,,auto_checked,mosei-word-times-v1.0/sample_0062.csv,mosei-word-times-v1.0/sample_0062.json,
sample_0063,-wny0OAz3g8,7,29,29,29,0,0.940495,0.206897,0.16,7.76,,auto_checked,mosei-word-times-v1.0/sample_0063.csv,mosei-word-times-v1.0/sample_0063.json,
sample_0064,-wny0OAz3g8,9,20,20,20,0,0.878357,0.4,0.08,5.86,asr_disagreement;low_ctc_probability,needs_review,mosei-word-times-v1.0/sample_0064.csv,mosei-word-times-v1.0/sample_0064.json,
sample_0065,-571d8cVauQ,0,12,12,12,0,0.826311,0.5,1.06,4.4,asr_disagreement,needs_review,mosei-word-times-v1.0/sample_0065.csv,mosei-word-times-v1.0/sample_0065.json,
sample_0066,-571d8cVauQ,5,43,43,43,0,0.937946,0.116279,0.54,14.58,,auto_checked,mosei-word-times-v1.0/sample_0066.csv,mosei-word-times-v1.0/sample_0066.json,
sample_0067,-I_e4mIh0yE,1,18,18,18,0,0.975862,0.055556,0.82,6.88,,auto_checked,mosei-word-times-v1.0/sample_0067.csv,mosei-word-times-v1.0/sample_0067.json,
sample_0068,-I_e4mIh0yE,3,22,22,22,0,0.89383,0.545455,0.58,8.38,asr_disagreement;low_ctc_probability,needs_review,mosei-word-times-v1.0/sample_0068.csv,mosei-word-times-v1.0/sample_0068.json,
sample_0069,-UacrmKiTn4,10,18,18,18,0,0.956415,0.111111,0.52,6.68,,auto_checked,mosei-word-times-v1.0/sample_0069.csv,mosei-word-times-v1.0/sample_0069.json,
sample_0070,-UacrmKiTn4,4,14,14,14,0,0.98357,0.214286,0.52,4.08,,auto_checked,mosei-word-times-v1.0/sample_0070.csv,mosei-word-times-v1.0/sample_0070.json,
sample_0071,-hnBHBN8p5A,7,13,13,13,0,0.251621,1.153846,0.28,7.24,asr_disagreement;low_ctc_probability,needs_review,mosei-word-times-v1.0/sample_0071.csv,mosei-word-times-v1.0/sample_0071.json,
sample_0072,-hnBHBN8p5A,6,13,13,13,0,0.285406,0.923077,0.3,6.32,asr_disagreement;low_ctc_probability,needs_review,mosei-word-times-v1.0/sample_0072.csv,mosei-word-times-v1.0/sample_0072.json,
sample_0073,-qDkUB0GgYY,6,16,16,16,0,0.734298,0.5625,0.1,4.0,asr_disagreement;low_ctc_probability,needs_review,mosei-word-times-v1.0/sample_0073.csv,mosei-word-times-v1.0/sample_0073.json,
sample_0074,-uywlfIYOS8,4,18,18,18,0,0.942447,0.444444,0.14,5.26,asr_disagreement,needs_review,mosei-word-times-v1.0/sample_0074.csv,mosei-word-times-v1.0/sample_0074.json,
sample_0075,-6rXp3zJ3kc,8,34,34,34,0,0.95325,0.205882,0.52,12.2,,auto_checked,mosei-word-times-v1.0/sample_0075.csv,mosei-word-times-v1.0/sample_0075.json,
sample_0076,-9y-fZ3swSY,0,22,22,22,0,0.73785,0.545455,0.04,6.24,asr_disagreement;low_ctc_probability,needs_review,mosei-word-times-v1.0/sample_0076.csv,mosei-word-times-v1.0/sample_0076.json,
sample_0077,-9y-fZ3swSY,4,9,9,9,0,0.516749,0.666667,0.34,2.56,asr_disagreement;low_ctc_probability,needs_review,mosei-word-times-v1.0/sample_0077.csv,mosei-word-times-v1.0/sample_0077.json,
sample_0078,-9y-fZ3swSY,8,12,12,12,0,0.931251,0.166667,0.26,4.4,,auto_checked,mosei-word-times-v1.0/sample_0078.csv,mosei-word-times-v1.0/sample_0078.json,
sample_0079,-AUZQgSxyPQ,2,41,41,41,0,0.778388,0.512195,0.5,21.8,asr_disagreement;low_ctc_probability,needs_review,mosei-word-times-v1.0/sample_0079.csv,mosei-word-times-v1.0/sample_0079.json,
sample_0080,-HeZS2-Prhc,2,16,16,16,0,0.860407,0.75,0.14,8.12,asr_disagreement,needs_review,mosei-word-times-v1.0/sample_0080.csv,mosei-word-times-v1.0/sample_0080.json,
sample_0081,-MeTTeMJBNc,0,21,21,21,0,0.954009,0.142857,1.0,8.58,,auto_checked,mosei-word-times-v1.0/sample_0081.csv,mosei-word-times-v1.0/sample_0081.json,
sample_0082,-MeTTeMJBNc,13,14,14,14,0,0.976243,0.214286,0.12,4.82,,auto_checked,mosei-word-times-v1.0/sample_0082.csv,mosei-word-times-v1.0/sample_0082.json,
sample_0083,-MeTTeMJBNc,7,31,31,31,0,0.920061,0.096774,0.54,9.84,,auto_checked,mosei-word-times-v1.0/sample_0083.csv,mosei-word-times-v1.0/sample_0083.json,
sample_0084,-RfYyzHpjk4,11,17,17,17,0,0.915858,0.352941,0.58,4.5,asr_disagreement,needs_review,mosei-word-times-v1.0/sample_0084.csv,mosei-word-times-v1.0/sample_0084.json,
sample_0085,-RfYyzHpjk4,8,17,17,17,0,0.94433,0.117647,0.48,3.94,,auto_checked,mosei-word-times-v1.0/sample_0085.csv,mosei-word-times-v1.0/sample_0085.json,
sample_0086,-RfYyzHpjk4,2,25,25,25,0,0.722489,0.36,0.5,5.36,asr_disagreement;low_ctc_probability,needs_review,mosei-word-times-v1.0/sample_0086.csv,mosei-word-times-v1.0/sample_0086.json,
sample_0087,-UUCSKoHeMA,0,18,18,18,0,0.886733,0.222222,1.44,7.18,low_ctc_probability,needs_review,mosei-word-times-v1.0/sample_0087.csv,mosei-word-times-v1.0/sample_0087.json,
sample_0088,-ri04Z7vwnc,0,8,8,8,0,0.053112,1.0,0.02,2.74,asr_disagreement;low_ctc_probability,needs_review,mosei-word-times-v1.0/sample_0088.csv,mosei-word-times-v1.0/sample_0088.json,
sample_0089,-ri04Z7vwnc,2,16,16,16,0,0.030661,1.0,0.04,5.56,asr_disagreement;low_ctc_probability,needs_review,mosei-word-times-v1.0/sample_0089.csv,mosei-word-times-v1.0/sample_0089.json,
sample_0090,-ri04Z7vwnc,5,9,8,8,1,0.190162,1.875,0.34,3.32,asr_disagreement;low_ctc_probability,needs_review,mosei-word-times-v1.0/sample_0090.csv,mosei-word-times-v1.0/sample_0090.json,
sample_0091,-s9qJ7ATP7w,1,11,11,11,0,0.866788,0.363636,0.54,4.26,asr_disagreement,needs_review,mosei-word-times-v1.0/sample_0091.csv,mosei-word-times-v1.0/sample_0091.json,
sample_0092,-s9qJ7ATP7w,0,24,24,24,0,0.820026,0.333333,0.02,6.12,low_ctc_probability,needs_review,mosei-word-times-v1.0/sample_0092.csv,mosei-word-times-v1.0/sample_0092.json,
sample_0093,-s9qJ7ATP7w,5,19,19,19,0,0.921857,0.210526,0.4,7.8,low_ctc_probability,needs_review,mosei-word-times-v1.0/sample_0093.csv,mosei-word-times-v1.0/sample_0093.json,
sample_0094,-s9qJ7ATP7w,4,9,9,9,0,0.884317,0.555556,0.1,3.44,asr_disagreement,needs_review,mosei-word-times-v1.0/sample_0094.csv,mosei-word-times-v1.0/sample_0094.json,
sample_0095,-s9qJ7ATP7w,7,28,28,28,0,0.772011,0.535714,0.56,6.62,asr_disagreement;low_ctc_probability,needs_review,mosei-word-times-v1.0/sample_0095.csv,mosei-word-times-v1.0/sample_0095.json,
sample_0096,-s9qJ7ATP7w,6,5,5,5,0,0.906526,0.6,0.56,1.84,asr_disagreement,needs_review,mosei-word-times-v1.0/sample_0096.csv,mosei-word-times-v1.0/sample_0096.json,
sample_0097,-s9qJ7ATP7w,8,13,12,12,1,0.856765,0.583333,0.52,2.64,asr_disagreement,needs_review,mosei-word-times-v1.0/sample_0097.csv,mosei-word-times-v1.0/sample_0097.json,
sample_0098,-yRb-Jum7EQ,1,49,49,49,0,0.291621,0.959184,1.02,28.68,asr_disagreement;low_ctc_probability,needs_review,mosei-word-times-v1.0/sample_0098.csv,mosei-word-times-v1.0/sample_0098.json,
sample_0099,-yRb-Jum7EQ,5,25,25,25,0,0.251985,1.0,0.12,12.8,asr_disagreement;low_ctc_probability,needs_review,mosei-word-times-v1.0/sample_0099.csv,mosei-word-times-v1.0/sample_0099.json,
sample_0100,-yRb-Jum7EQ,6,19,19,19,0,0.210526,1.0,0.4,10.98,asr_disagreement;low_ctc_probability,needs_review,mosei-word-times-v1.0/sample_0100.csv,mosei-word-times-v1.0/sample_0100.json,
