model,split,aggregation,accuracy_mean,macro_f1_mean,neutral_f1_mean,mae_mean,pearson_r_mean,accuracy_sample_sd,macro_f1_sample_sd,neutral_f1_sample_sd,mae_sample_sd,pearson_r_sample_sd
temporal,valid,mean_of_individual_seed_metrics,0.6291208791208791,0.5742632486748516,0.35068375102634214,0.570479498178299,0.6812164580977232,0.00475838133947492,0.013207716829909392,0.04027081834263288,0.009215007498914964,0.010345243732345423
temporal,test,mean_of_individual_seed_metrics,0.6877579092159559,0.610326112422717,0.34281880778751894,0.6186340493352888,0.6932254522699869,0.013755158184319105,0.01737724739948069,0.030821303760113387,0.006829466129093729,0.008564909791427489
balanced,valid,mean_of_individual_seed_metrics,0.6341575091575091,0.6099162334140895,0.4603809054459411,0.5685872101828783,0.6819376049097431,0.007810770196534824,0.004529021704959891,0.0227716862815778,0.008532461271357187,0.007255798241399045
balanced,test,mean_of_individual_seed_metrics,0.6840898670334709,0.6391034391013481,0.43115920211800884,0.6162000511453095,0.6946102919803844,0.004830652798190187,0.011966910626508757,0.034216737560724374,0.011553828740337361,0.013589475057939523
text_safe,valid,mean_of_individual_seed_metrics,0.6295787545787546,0.6011835526775134,0.43787610609096683,0.5687165231309189,0.6798798163245396,0.016616526842146574,0.010049895337645883,0.030542234804590267,0.009526316420071982,0.01116071307679309
text_safe,test,mean_of_individual_seed_metrics,0.6753782668500689,0.6294274035124839,0.4226148138494037,0.6216942575401064,0.6929435107223543,0.0023824632841387525,0.01749823739040463,0.04686327706388565,0.010833663171933844,0.00461605670027088
